state,pop_resident,pop_overseas,pop_total
Alabama,4040587,22021,4062608
Alaska,550043,1904,551947
Arizona,3665228,12757,3677985
Arkansas,2350725,11514,2362239
California,29760021,79229,29839250
Colorado,3294394,13518,3307912
Connecticut,3287116,8553,3295669
Delaware,666168,2528,668696
Florida,12937926,65436,13003362
Georgia,6478216,30203,6508419
Hawaii,1108229,7045,1115274
Idaho,1006749,5237,1011986
Illinois,11430602,36080,11466682
Indiana,5544159,20069,5564228
Iowa,2776755,10669,2787424
Kansas,2477574,8026,2485600
Kentucky,3685296,13673,3698969
Louisiana,4219973,18243,4238216
Maine,1227928,5295,1233223
Maryland,4781468,17154,4798622
Massachusetts,6016425,12626,6029051
Michigan,9295297,33487,9328784
Minnesota,4375099,11930,4387029
Mississippi,2573216,13227,2586443
Missouri,5117073,20731,5137804
Montana,799065,4590,803655
Nebraska,1578385,6232,1584617
Nevada,1201833,4319,1206152
New Hampshire,1109252,4663,1113915
New Jersey,7730188,18446,7748634
New Mexico,1515069,6710,1521779
New York,17990455,54050,18044505
North Carolina,6628637,28993,6657630
North Dakota,638800,2564,641364
Ohio,10847115,40210,10887325
Oklahoma,3145585,12019,3157604
Oregon,2842321,11412,2853733
Pennsylvania,11881643,43067,11924710
Rhode Island,1003464,2520,1005984
South Carolina,3486703,19004,3505707
South Dakota,696004,3995,699999
Tennessee,4877185,19456,4896641
Texas,16986510,73295,17059805
Utah,1722850,4934,1727784
Vermont,562758,2206,564964
Virginia,6187358,29210,6216568
Washington,4866692,21249,4887941
West Virginia,1793477,8148,1801625
Wisconsin,4891769,14976,4906745
Wyoming,453588,2387,455975