state,resident_pop,overseas_pop,total_pop
Alabama,4040587
Alaska,550043
Arizona,3665228
Arkansas,2350725
California,29760021
Colorado,3294394
Connecticut,3287116
Delaware,666168
Florida,12937926
Georgia,6478216
Hawaii,1108229
Idaho,1006749
Illinois,11430602
Indiana,5544159
Iowa,2776755
Kansas,2477574
Kentucky,3685296
Louisiana,4219973
Maine,1227928
Maryland,4781468
Massachusetts,6016425
Michigan,9295297
Minnesota,4375099
Mississippi,2573216
Missouri,5117073
Montana,799065
Nebraska,1578385
Nevada,1201833
New Hampshire,1109252
New Jersey,7730188
New Mexico,1515069
New York,17990455
North Carolina,6628637
North Dakota,638800
Ohio,10847115
Oklahoma,3145585
Oregon,2842321
Pennsylvania,11881643
Rhode Island,1003464
South Carolina,3486703
South Dakota,696004
Tennessee,4877185
Texas,16986510
Utah,1722850
Vermont,562758
Virginia,6187358
Washington,4866692
West Virginia,1793477
Wisconsin,4891769
Wyoming,453588